Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP Occupation, INCP Total Personal Income (weekly) and AGE10P  Age in Ten Year Groups"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP Occupation","INCP Total Personal Income (weekly)","AGE10P  Age in Ten Year Groups",
,,,"40-49 years",625,
,,,"50-59 years",682,
,,"$600-$799 ($31,200-$41,599)","20-29 years",1076,
,,,"30-39 years",920,
,,,"40-49 years",1158,
,,,"50-59 years",1152,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1266,
,,,"30-39 years",1243,
,,,"40-49 years",1582,
,,,"50-59 years",1385,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1396,
,,,"30-39 years",1972,
,,,"40-49 years",2157,
,,,"50-59 years",1832,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",1162,
,,,"30-39 years",2022,
,,,"40-49 years",2134,
,,,"50-59 years",1584,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",1250,
,,,"30-39 years",3394,
,,,"40-49 years",3413,
,,,"50-59 years",2468,
,,"$2,000 or more ($104,000 or more)","20-29 years",958,
,,,"30-39 years",5110,
,,,"40-49 years",5703,
,,,"50-59 years",3935,
,"Engineering Managers","$400-$599 ($20,800-$31,199)","20-29 years",11,
,,,"30-39 years",3,
,,,"40-49 years",18,
,,,"50-59 years",18,
,,"$600-$799 ($31,200-$41,599)","20-29 years",37,
,,,"30-39 years",19,
,,,"40-49 years",34,
,,,"50-59 years",29,
,,"$800-$999 ($41,600-$51,999)","20-29 years",109,
,,,"30-39 years",76,
,,,"40-49 years",55,
,,,"50-59 years",53,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",226,
,,,"30-39 years",201,
,,,"40-49 years",174,
,,,"50-59 years",155,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",264,
,,,"30-39 years",320,
,,,"40-49 years",265,
,,,"50-59 years",201,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",332,
,,,"30-39 years",908,
,,,"40-49 years",880,
,,,"50-59 years",662,
,,"$2,000 or more ($104,000 or more)","20-29 years",276,
,,,"30-39 years",2783,
,,,"40-49 years",3904,
,,,"50-59 years",3067,
,"Importers, Exporters and Wholesalers","$400-$599 ($20,800-$31,199)","20-29 years",109,
,,,"30-39 years",173,
,,,"40-49 years",299,
,,,"50-59 years",324,
,,"$600-$799 ($31,200-$41,599)","20-29 years",280,
,,,"30-39 years",345,
,,,"40-49 years",502,
,,,"50-59 years",469,
,,"$800-$999 ($41,600-$51,999)","20-29 years",259,
,,,"30-39 years",437,
