Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP Occupation, INCP Total Personal Income (weekly) and AGE10P  Age in Ten Year Groups"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP Occupation","INCP Total Personal Income (weekly)","AGE10P  Age in Ten Year Groups",
,,,"50-59 years",1315,
,,"$800-$999 ($41,600-$51,999)","20-29 years",4662,
,,,"30-39 years",2830,
,,,"40-49 years",2202,
,,,"50-59 years",1794,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",5231,
,,,"30-39 years",3830,
,,,"40-49 years",2951,
,,,"50-59 years",2241,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",3759,
,,,"30-39 years",3350,
,,,"40-49 years",2325,
,,,"50-59 years",1528,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",2746,
,,,"30-39 years",2996,
,,,"40-49 years",2139,
,,,"50-59 years",1189,
,,"$2,000 or more ($104,000 or more)","20-29 years",1074,
,,,"30-39 years",1164,
,,,"40-49 years",771,
,,,"50-59 years",430,
,"Floor Finishers and Painting Trades Workers nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",3,
,,"$600-$799 ($31,200-$41,599)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",0,
,,,"50-59 years",9,
,,"$800-$999 ($41,600-$51,999)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",0,
,,,"50-59 years",3,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",3,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",3,
,,,"50-59 years",0,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,"Floor Finishers","$400-$599 ($20,800-$31,199)","20-29 years",202,
,,,"30-39 years",94,
,,,"40-49 years",87,
,,,"50-59 years",97,
,,"$600-$799 ($31,200-$41,599)","20-29 years",325,
,,,"30-39 years",198,
,,,"40-49 years",201,
,,,"50-59 years",152,
,,"$800-$999 ($41,600-$51,999)","20-29 years",262,
,,,"30-39 years",267,
,,,"40-49 years",257,
,,,"50-59 years",175,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",228,
,,,"30-39 years",296,
,,,"40-49 years",260,
,,,"50-59 years",153,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",134,
,,,"30-39 years",196,
,,,"40-49 years",198,
,,,"50-59 years",104,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",152,
,,,"30-39 years",204,
,,,"40-49 years",208,
,,,"50-59 years",107,
,,"$2,000 or more ($104,000 or more)","20-29 years",90,
,,,"30-39 years",159,
,,,"40-49 years",142,
,,,"50-59 years",55,
,"Painting Trades Workers","$400-$599 ($20,800-$31,199)","20-29 years",821,
,,,"30-39 years",425,
,,,"40-49 years",541,
,,,"50-59 years",543,
,,"$600-$799 ($31,200-$41,599)","20-29 years",1298,
,,,"30-39 years",1017,
,,,"40-49 years",1182,
,,,"50-59 years",1091,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1334,
,,,"30-39 years",1443,
,,,"40-49 years",1576,
,,,"50-59 years",1263,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1190,
,,,"30-39 years",1583,
,,,"40-49 years",1638,
,,,"50-59 years",1236,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",421,
,,,"30-39 years",909,
,,,"40-49 years",868,
,,,"50-59 years",627,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",217,
,,,"30-39 years",546,
,,,"40-49 years",619,
,,,"50-59 years",399,
,,"$2,000 or more ($104,000 or more)","20-29 years",100,
,,,"30-39 years",227,
,,,"40-49 years",271,
,,,"50-59 years",187,
,"Glaziers, Plasterers and Tilers nfd","$400-$599 ($20,800-$31,199)","20-29 years",3,
,,,"30-39 years",3,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",0,
,,,"30-39 years",5,
,,,"40-49 years",8,
,,,"50-59 years",3,
,,"$800-$999 ($41,600-$51,999)","20-29 years",0,
,,,"30-39 years",6,
,,,"40-49 years",7,
,,,"50-59 years",4,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",6,
,,,"30-39 years",6,
,,,"40-49 years",5,
,,,"50-59 years",0,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",0,
,,,"30-39 years",4,
,,,"40-49 years",3,
,,,"50-59 years",0,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",3,
,,,"50-59 years",0,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",3,
,,,"50-59 years",0,
,"Glaziers","$400-$599 ($20,800-$31,199)","20-29 years",216,
,,,"30-39 years",83,
,,,"40-49 years",82,
,,,"50-59 years",68,
,,"$600-$799 ($31,200-$41,599)","20-29 years",606,
,,,"30-39 years",354,
,,,"40-49 years",339,
,,,"50-59 years",214,
,,"$800-$999 ($41,600-$51,999)","20-29 years",435,
,,,"30-39 years",432,
,,,"40-49 years",373,
,,,"50-59 years",259,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",301,
,,,"30-39 years",360,
,,,"40-49 years",313,
,,,"50-59 years",223,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",110,
,,,"30-39 years",201,
,,,"40-49 years",152,
,,,"50-59 years",104,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",80,
,,,"30-39 years",142,
,,,"40-49 years",160,
,,,"50-59 years",55,
,,"$2,000 or more ($104,000 or more)","20-29 years",18,
,,,"30-39 years",43,
,,,"40-49 years",49,
,,,"50-59 years",28,
,"Plasterers","$400-$599 ($20,800-$31,199)","20-29 years",589,
,,,"30-39 years",257,
,,,"40-49 years",259,
,,,"50-59 years",198,
,,"$600-$799 ($31,200-$41,599)","20-29 years",999,
,,,"30-39 years",639,
,,,"40-49 years",584,
,,,"50-59 years",360,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1061,
,,,"30-39 years",945,
,,,"40-49 years",782,
,,,"50-59 years",440,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1078,
,,,"30-39 years",1183,
,,,"40-49 years",980,
,,,"50-59 years",499,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",615,
,,,"30-39 years",840,
,,,"40-49 years",674,
,,,"50-59 years",351,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",435,
,,,"30-39 years",688,
,,,"40-49 years",578,
,,,"50-59 years",277,
,,"$2,000 or more ($104,000 or more)","20-29 years",128,
,,,"30-39 years",272,
,,,"40-49 years",194,
,,,"50-59 years",87,
,"Roof Tilers","$400-$599 ($20,800-$31,199)","20-29 years",240,
,,,"30-39 years",58,
,,,"40-49 years",67,
,,,"50-59 years",38,
,,"$600-$799 ($31,200-$41,599)","20-29 years",334,
,,,"30-39 years",154,
,,,"40-49 years",125,
,,,"50-59 years",81,
,,"$800-$999 ($41,600-$51,999)","20-29 years",331,
,,,"30-39 years",221,
,,,"40-49 years",118,
,,,"50-59 years",96,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",208,
,,,"30-39 years",197,
,,,"40-49 years",163,
,,,"50-59 years",94,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",98,
,,,"30-39 years",158,
,,,"40-49 years",93,
,,,"50-59 years",66,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",55,
,,,"30-39 years",99,
,,,"40-49 years",56,
,,,"50-59 years",35,
,,"$2,000 or more ($104,000 or more)","20-29 years",32,
,,,"30-39 years",48,
,,,"40-49 years",51,
,,,"50-59 years",19,
,"Wall and Floor Tilers","$400-$599 ($20,800-$31,199)","20-29 years",449,
,,,"30-39 years",204,
,,,"40-49 years",201,
,,,"50-59 years",136,
,,"$600-$799 ($31,200-$41,599)","20-29 years",520,
,,,"30-39 years",465,
,,,"40-49 years",398,
,,,"50-59 years",267,
,,"$800-$999 ($41,600-$51,999)","20-29 years",523,
,,,"30-39 years",553,
,,,"40-49 years",439,
,,,"50-59 years",271,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",470,
,,,"30-39 years",549,
,,,"40-49 years",455,
,,,"50-59 years",272,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",280,
,,,"30-39 years",379,
,,,"40-49 years",326,
,,,"50-59 years",155,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",179,
,,,"30-39 years",306,
,,,"40-49 years",250,
,,,"50-59 years",102,
,,"$2,000 or more ($104,000 or more)","20-29 years",97,
,,,"30-39 years",130,
,,,"40-49 years",86,
,,,"50-59 years",48,
,"Plumbers","$400-$599 ($20,800-$31,199)","20-29 years",2666,
,,,"30-39 years",461,
,,,"40-49 years",454,
,,,"50-59 years",410,
,,"$600-$799 ($31,200-$41,599)","20-29 years",3279,
,,,"30-39 years",1162,
,,,"40-49 years",1040,
,,,"50-59 years",814,
,,"$800-$999 ($41,600-$51,999)","20-29 years",3214,
,,,"30-39 years",1864,
,,,"40-49 years",1620,
,,,"50-59 years",1178,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",3335,
,,,"30-39 years",2736,
,,,"40-49 years",2145,
,,,"50-59 years",1679,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",2134,
,,,"30-39 years",2375,
,,,"40-49 years",1749,
,,,"50-59 years",1123,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",1533,
,,,"30-39 years",2411,
,,,"40-49 years",1870,
,,,"50-59 years",1082,
,,"$2,000 or more ($104,000 or more)","20-29 years",542,
,,,"30-39 years",995,
,,,"40-49 years",909,
,,,"50-59 years",488,
,"Electrotechnology and Telecommunications Trades Workers nfd","$400-$599 ($20,800-$31,199)","20-29 years",195,
,,,"30-39 years",19,
,,,"40-49 years",7,
,,,"50-59 years",10,
,,"$600-$799 ($31,200-$41,599)","20-29 years",145,
,,,"30-39 years",34,
,,,"40-49 years",29,
,,,"50-59 years",21,
,,"$800-$999 ($41,600-$51,999)","20-29 years",107,
,,,"30-39 years",54,
,,,"40-49 years",29,
,,,"50-59 years",24,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",73,
,,,"30-39 years",78,
,,,"40-49 years",68,
,,,"50-59 years",52,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",67,
,,,"30-39 years",85,
,,,"40-49 years",82,
,,,"50-59 years",76,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",71,
,,,"30-39 years",149,
,,,"40-49 years",159,
,,,"50-59 years",138,
,,"$2,000 or more ($104,000 or more)","20-29 years",98,
,,,"30-39 years",266,
,,,"40-49 years",264,
,,,"50-59 years",190,
,"Electricians","$400-$599 ($20,800-$31,199)","20-29 years",3937,
,,,"30-39 years",580,
,,,"40-49 years",438,
,,,"50-59 years",471,
,,"$600-$799 ($31,200-$41,599)","20-29 years",4738,
,,,"30-39 years",1299,
,,,"40-49 years",1096,
,,,"50-59 years",957,
,,"$800-$999 ($41,600-$51,999)","20-29 years",4713,
,,,"30-39 years",2127,
,,,"40-49 years",1860,
,,,"50-59 years",1592,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",5692,
,,,"30-39 years",3928,
,,,"40-49 years",3119,
,,,"50-59 years",2581,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",4124,
,,,"30-39 years",3836,
,,,"40-49 years",3201,
,,,"50-59 years",2422,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",4159,
,,,"30-39 years",4866,
,,,"40-49 years",4275,
,,,"50-59 years",2845,
,,"$2,000 or more ($104,000 or more)","20-29 years",2872,
,,,"30-39 years",3731,
,,,"40-49 years",3210,
,,,"50-59 years",2002,
,"Electronics and Telecommunications Trades Workers nfd","$400-$599 ($20,800-$31,199)","20-29 years",21,
,,,"30-39 years",7,
,,,"40-49 years",5,
,,,"50-59 years",4,
,,"$600-$799 ($31,200-$41,599)","20-29 years",31,
,,,"30-39 years",13,
,,,"40-49 years",14,
,,,"50-59 years",12,
,,"$800-$999 ($41,600-$51,999)","20-29 years",26,
,,,"30-39 years",26,
,,,"40-49 years",18,
,,,"50-59 years",20,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",23,
,,,"30-39 years",18,
,,,"40-49 years",26,
,,,"50-59 years",18,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",19,
,,,"30-39 years",11,
,,,"40-49 years",21,
,,,"50-59 years",15,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",9,
,,,"30-39 years",15,
,,,"40-49 years",28,
,,,"50-59 years",12,
,,"$2,000 or more ($104,000 or more)","20-29 years",8,
,,,"30-39 years",7,
,,,"40-49 years",19,
,,,"50-59 years",3,
,"Airconditioning and Refrigeration Mechanics","$400-$599 ($20,800-$31,199)","20-29 years",788,
,,,"30-39 years",96,
,,,"40-49 years",102,
,,,"50-59 years",86,
,,"$600-$799 ($31,200-$41,599)","20-29 years",904,
,,,"30-39 years",275,
,,,"40-49 years",265,
,,,"50-59 years",153,
,,"$800-$999 ($41,600-$51,999)","20-29 years",958,
,,,"30-39 years",498,
,,,"40-49 years",426,
,,,"50-59 years",260,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1072,
,,,"30-39 years",861,
,,,"40-49 years",635,
,,,"50-59 years",424,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",569,
,,,"30-39 years",642,
,,,"40-49 years",531,
,,,"50-59 years",355,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",362,
,,,"30-39 years",618,
,,,"40-49 years",473,
,,,"50-59 years",227,
,,"$2,000 or more ($104,000 or more)","20-29 years",178,
,,,"30-39 years",272,
,,,"40-49 years",223,
,,,"50-59 years",118,
,"Electrical Distribution Trades Workers","$400-$599 ($20,800-$31,199)","20-29 years",80,
,,,"30-39 years",6,
,,,"40-49 years",8,
,,,"50-59 years",9,
,,"$600-$799 ($31,200-$41,599)","20-29 years",223,
,,,"30-39 years",63,
,,,"40-49 years",30,
,,,"50-59 years",24,
,,"$800-$999 ($41,600-$51,999)","20-29 years",314,
,,,"30-39 years",182,
,,,"40-49 years",129,
,,,"50-59 years",86,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",445,
,,,"30-39 years",346,
,,,"40-49 years",311,
,,,"50-59 years",257,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",401,
,,,"30-39 years",334,
,,,"40-49 years",390,
,,,"50-59 years",307,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",437,
,,,"30-39 years",470,
,,,"40-49 years",683,
,,,"50-59 years",438,
,,"$2,000 or more ($104,000 or more)","20-29 years",198,
,,,"30-39 years",306,
,,,"40-49 years",395,
,,,"50-59 years",206,
,"Electronics Trades Workers","$400-$599 ($20,800-$31,199)","20-29 years",585,
,,,"30-39 years",247,
,,,"40-49 years",277,
,,,"50-59 years",247,
,,"$600-$799 ($31,200-$41,599)","20-29 years",1419,
,,,"30-39 years",866,
,,,"40-49 years",666,
,,,"50-59 years",488,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1338,
,,,"30-39 years",1187,
,,,"40-49 years",967,
,,,"50-59 years",745,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1127,
,,,"30-39 years",1394,
,,,"40-49 years",1142,
,,,"50-59 years",805,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",671,
,,,"30-39 years",862,
,,,"40-49 years",832,
,,,"50-59 years",485,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",362,
,,,"30-39 years",756,
,,,"40-49 years",700,
,,,"50-59 years",489,
,,"$2,000 or more ($104,000 or more)","20-29 years",114,
,,,"30-39 years",292,
,,,"40-49 years",345,
,,,"50-59 years",243,
,"Telecommunications Trades Workers","$400-$599 ($20,800-$31,199)","20-29 years",283,
,,,"30-39 years",132,
,,,"40-49 years",123,
,,,"50-59 years",101,
,,"$600-$799 ($31,200-$41,599)","20-29 years",449,
,,,"30-39 years",310,
,,,"40-49 years",320,
,,,"50-59 years",226,
,,"$800-$999 ($41,600-$51,999)","20-29 years",480,
,,,"30-39 years",524,
,,,"40-49 years",521,
,,,"50-59 years",410,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",575,
,,,"30-39 years",718,
,,,"40-49 years",970,
,,,"50-59 years",894,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",285,
,,,"30-39 years",593,
,,,"40-49 years",841,
,,,"50-59 years",738,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",182,
,,,"30-39 years",570,
,,,"40-49 years",787,
,,,"50-59 years",553,
,,"$2,000 or more ($104,000 or more)","20-29 years",83,
,,,"30-39 years",220,
,,,"40-49 years",260,
,,,"50-59 years",158,
,"Food Trades Workers nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",4,
,,,"30-39 years",6,
,,,"40-49 years",5,
,,,"50-59 years",0,
,,"$800-$999 ($41,600-$51,999)","20-29 years",4,
,,,"30-39 years",5,
,,,"40-49 years",3,
,,,"50-59 years",7,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",3,
,,,"50-59 years",0,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",4,
,,,"50-59 years",0,
,"Bakers and Pastrycooks","$400-$599 ($20,800-$31,199)","20-29 years",1011,
,,,"30-39 years",476,
,,,"40-49 years",483,
,,,"50-59 years",399,
,,"$600-$799 ($31,200-$41,599)","20-29 years",1874,
,,,"30-39 years",1291,
,,,"40-49 years",963,
,,,"50-59 years",614,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1255,
,,,"30-39 years",1126,
,,,"40-49 years",896,
,,,"50-59 years",474,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",444,
,,,"30-39 years",653,
,,,"40-49 years",562,
,,,"50-59 years",305,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",85,
,,,"30-39 years",192,
,,,"40-49 years",172,
,,,"50-59 years",100,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",37,
,,,"30-39 years",95,
,,,"40-49 years",104,
,,,"50-59 years",62,
,,"$2,000 or more ($104,000 or more)","20-29 years",19,
,,,"30-39 years",50,
,,,"40-49 years",58,
,,,"50-59 years",31,
,"Butchers and Smallgoods Makers","$400-$599 ($20,800-$31,199)","20-29 years",556,
,,,"30-39 years",247,
,,,"40-49 years",277,
,,,"50-59 years",268,
,,"$600-$799 ($31,200-$41,599)","20-29 years",1250,
,,,"30-39 years",770,
,,,"40-49 years",732,
,,,"50-59 years",673,
,,"$800-$999 ($41,600-$51,999)","20-29 years",901,
,,,"30-39 years",759,
,,,"40-49 years",767,
,,,"50-59 years",645,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",428,
,,,"30-39 years",528,
,,,"40-49 years",498,
,,,"50-59 years",396,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",94,
,,,"30-39 years",212,
,,,"40-49 years",190,
,,,"50-59 years",129,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",46,
,,,"30-39 years",89,
,,,"40-49 years",102,
,,,"50-59 years",60,
,,"$2,000 or more ($104,000 or more)","20-29 years",10,
,,,"30-39 years",39,
,,,"40-49 years",34,
,,,"50-59 years",41,
,"Chefs","$400-$599 ($20,800-$31,199)","20-29 years",1313,
,,,"30-39 years",840,
,,,"40-49 years",882,
,,,"50-59 years",737,
,,"$600-$799 ($31,200-$41,599)","20-29 years",4247,
,,,"30-39 years",2771,
,,,"40-49 years",1774,
,,,"50-59 years",1111,
,,"$800-$999 ($41,600-$51,999)","20-29 years",4117,
,,,"30-39 years",3665,
,,,"40-49 years",2120,
,,,"50-59 years",1135,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1792,
,,,"30-39 years",2685,
,,,"40-49 years",1597,
,,,"50-59 years",845,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",567,
,,,"30-39 years",1298,
,,,"40-49 years",774,
,,,"50-59 years",399,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",185,
,,,"30-39 years",651,
,,,"40-49 years",553,
,,,"50-59 years",220,
,,"$2,000 or more ($104,000 or more)","20-29 years",80,
,,,"30-39 years",223,
,,,"40-49 years",198,
,,,"50-59 years",108,
,"Cooks","$400-$599 ($20,800-$31,199)","20-29 years",1892,
,,,"30-39 years",732,
,,,"40-49 years",876,
,,,"50-59 years",934,
,,"$600-$799 ($31,200-$41,599)","20-29 years",2071,
,,,"30-39 years",1288,
,,,"40-49 years",1363,
,,,"50-59 years",1262,
,,"$800-$999 ($41,600-$51,999)","20-29 years",924,
,,,"30-39 years",778,
,,,"40-49 years",763,
,,,"50-59 years",687,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",315,
,,,"30-39 years",323,
,,,"40-49 years",342,
,,,"50-59 years",319,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",101,
,,,"30-39 years",140,
,,,"40-49 years",135,
,,,"50-59 years",111,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",49,
,,,"30-39 years",82,
,,,"40-49 years",94,
,,,"50-59 years",83,
,,"$2,000 or more ($104,000 or more)","20-29 years",24,
,,,"30-39 years",51,
,,,"40-49 years",91,
,,,"50-59 years",70,
,"Skilled Animal and Horticultural Workers nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$800-$999 ($41,600-$51,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",5,
,,,"50-59 years",0,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,"Animal Attendants and Trainers, and Shearers nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",4,
,,,"30-39 years",4,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$800-$999 ($41,600-$51,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",3,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,"Animal Attendants and Trainers","$400-$599 ($20,800-$31,199)","20-29 years",343,
,,,"30-39 years",206,
,,,"40-49 years",298,
,,,"50-59 years",215,
,,"$600-$799 ($31,200-$41,599)","20-29 years",624,
,,,"30-39 years",380,
,,,"40-49 years",311,
,,,"50-59 years",214,
,,"$800-$999 ($41,600-$51,999)","20-29 years",239,
,,,"30-39 years",270,
,,,"40-49 years",258,
,,,"50-59 years",156,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",113,
,,,"30-39 years",251,
,,,"40-49 years",183,
,,,"50-59 years",151,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",50,
,,,"30-39 years",118,
,,,"40-49 years",118,
,,,"50-59 years",56,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",28,
,,,"30-39 years",78,
,,,"40-49 years",83,
,,,"50-59 years",54,
,,"$2,000 or more ($104,000 or more)","20-29 years",11,
,,,"30-39 years",31,
,,,"40-49 years",43,
,,,"50-59 years",29,
,"Shearers","$400-$599 ($20,800-$31,199)","20-29 years",47,
,,,"30-39 years",44,
,,,"40-49 years",57,
,,,"50-59 years",41,
,,"$600-$799 ($31,200-$41,599)","20-29 years",95,
,,,"30-39 years",65,
,,,"40-49 years",112,
,,,"50-59 years",64,
,,"$800-$999 ($41,600-$51,999)","20-29 years",103,
,,,"30-39 years",101,
,,,"40-49 years",120,
,,,"50-59 years",61,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",94,
,,,"30-39 years",100,
,,,"40-49 years",104,
,,,"50-59 years",60,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",75,
,,,"30-39 years",67,
,,,"40-49 years",49,
,,,"50-59 years",33,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",42,
,,,"30-39 years",34,
,,,"40-49 years",19,
,,,"50-59 years",19,
