Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP - 4 Digit Level, AGE10P - Age in Ten Year Groups and INCP Total Personal Income (weekly)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP - 4 Digit Level","AGE10P - Age in Ten Year Groups","INCP Total Personal Income (weekly)",
,,,"$3,000 or more ($156,000 or more)",19,
,,"40-49 years","$400-$499 ($20,800-$25,999)",10,
,,,"$500-$649 ($26,000-$33,799)",44,
,,,"$650-$799 ($33,800-$41,599)",106,
,,,"$800-$999 ($41,600-$51,999)",315,
,,,"$1,000-$1,249 ($52,000-$64,999)",583,
,,,"$1,250-$1,499 ($65,000-$77,999)",524,
,,,"$1,500-$1,749 ($78,000-$90,999)",448,
,,,"$1,750-$1,999 ($91,000-$103,999)",238,
,,,"$2,000-$2,999 ($104,000-$155,999)",181,
,,,"$3,000 or more ($156,000 or more)",38,
,,"30-39 years","$400-$499 ($20,800-$25,999)",17,
,,,"$500-$649 ($26,000-$33,799)",36,
,,,"$650-$799 ($33,800-$41,599)",125,
,,,"$800-$999 ($41,600-$51,999)",358,
,,,"$1,000-$1,249 ($52,000-$64,999)",681,
,,,"$1,250-$1,499 ($65,000-$77,999)",579,
,,,"$1,500-$1,749 ($78,000-$90,999)",393,
,,,"$1,750-$1,999 ($91,000-$103,999)",202,
,,,"$2,000-$2,999 ($104,000-$155,999)",166,
,,,"$3,000 or more ($156,000 or more)",29,
,,"20-29 years","$400-$499 ($20,800-$25,999)",37,
,,,"$500-$649 ($26,000-$33,799)",136,
,,,"$650-$799 ($33,800-$41,599)",469,
,,,"$800-$999 ($41,600-$51,999)",970,
,,,"$1,000-$1,249 ($52,000-$64,999)",854,
,,,"$1,250-$1,499 ($65,000-$77,999)",395,
,,,"$1,500-$1,749 ($78,000-$90,999)",207,
,,,"$1,750-$1,999 ($91,000-$103,999)",86,
,,,"$2,000-$2,999 ($104,000-$155,999)",53,
,,,"$3,000 or more ($156,000 or more)",6,
,"Sales Workers, nfd","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",9,
,,,"$650-$799 ($33,800-$41,599)",18,
,,,"$800-$999 ($41,600-$51,999)",36,
,,,"$1,000-$1,249 ($52,000-$64,999)",44,
,,,"$1,250-$1,499 ($65,000-$77,999)",39,
,,,"$1,500-$1,749 ($78,000-$90,999)",21,
,,,"$1,750-$1,999 ($91,000-$103,999)",13,
,,,"$2,000-$2,999 ($104,000-$155,999)",19,
,,,"$3,000 or more ($156,000 or more)",14,
,,"40-49 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",6,
,,,"$650-$799 ($33,800-$41,599)",31,
,,,"$800-$999 ($41,600-$51,999)",30,
,,,"$1,000-$1,249 ($52,000-$64,999)",55,
,,,"$1,250-$1,499 ($65,000-$77,999)",37,
,,,"$1,500-$1,749 ($78,000-$90,999)",34,
,,,"$1,750-$1,999 ($91,000-$103,999)",28,
,,,"$2,000-$2,999 ($104,000-$155,999)",43,
,,,"$3,000 or more ($156,000 or more)",16,
,,"30-39 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",5,
,,,"$650-$799 ($33,800-$41,599)",21,
,,,"$800-$999 ($41,600-$51,999)",49,
,,,"$1,000-$1,249 ($52,000-$64,999)",60,
,,,"$1,250-$1,499 ($65,000-$77,999)",41,
,,,"$1,500-$1,749 ($78,000-$90,999)",40,
,,,"$1,750-$1,999 ($91,000-$103,999)",24,
,,,"$2,000-$2,999 ($104,000-$155,999)",34,
,,,"$3,000 or more ($156,000 or more)",14,
,,"20-29 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",16,
,,,"$650-$799 ($33,800-$41,599)",58,
,,,"$800-$999 ($41,600-$51,999)",61,
,,,"$1,000-$1,249 ($52,000-$64,999)",58,
,,,"$1,250-$1,499 ($65,000-$77,999)",18,
,,,"$1,500-$1,749 ($78,000-$90,999)",20,
,,,"$1,750-$1,999 ($91,000-$103,999)",11,
,,,"$2,000-$2,999 ($104,000-$155,999)",5,
,,,"$3,000 or more ($156,000 or more)",0,
,"Sales Representatives and Agents, nfd","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",5,
,,,"$800-$999 ($41,600-$51,999)",3,
,,,"$1,000-$1,249 ($52,000-$64,999)",5,
,,,"$1,250-$1,499 ($65,000-$77,999)",14,
,,,"$1,500-$1,749 ($78,000-$90,999)",11,
,,,"$1,750-$1,999 ($91,000-$103,999)",9,
,,,"$2,000-$2,999 ($104,000-$155,999)",11,
,,,"$3,000 or more ($156,000 or more)",16,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",4,
,,,"$1,000-$1,249 ($52,000-$64,999)",14,
,,,"$1,250-$1,499 ($65,000-$77,999)",16,
,,,"$1,500-$1,749 ($78,000-$90,999)",10,
,,,"$1,750-$1,999 ($91,000-$103,999)",8,
,,,"$2,000-$2,999 ($104,000-$155,999)",19,
,,,"$3,000 or more ($156,000 or more)",9,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",4,
,,,"$800-$999 ($41,600-$51,999)",10,
,,,"$1,000-$1,249 ($52,000-$64,999)",16,
,,,"$1,250-$1,499 ($65,000-$77,999)",8,
,,,"$1,500-$1,749 ($78,000-$90,999)",3,
,,,"$1,750-$1,999 ($91,000-$103,999)",8,
,,,"$2,000-$2,999 ($104,000-$155,999)",10,
,,,"$3,000 or more ($156,000 or more)",12,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",5,
,,,"$800-$999 ($41,600-$51,999)",13,
,,,"$1,000-$1,249 ($52,000-$64,999)",8,
,,,"$1,250-$1,499 ($65,000-$77,999)",7,
,,,"$1,500-$1,749 ($78,000-$90,999)",4,
,,,"$1,750-$1,999 ($91,000-$103,999)",0,
,,,"$2,000-$2,999 ($104,000-$155,999)",6,
,,,"$3,000 or more ($156,000 or more)",0,
,"Insurance Agents and Sales Representatives, nfd","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",0,
,,,"$1,500-$1,749 ($78,000-$90,999)",0,
,,,"$1,750-$1,999 ($91,000-$103,999)",0,
,,,"$2,000-$2,999 ($104,000-$155,999)",0,
,,,"$3,000 or more ($156,000 or more)",0,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",0,
,,,"$1,500-$1,749 ($78,000-$90,999)",0,
,,,"$1,750-$1,999 ($91,000-$103,999)",0,
,,,"$2,000-$2,999 ($104,000-$155,999)",0,
,,,"$3,000 or more ($156,000 or more)",0,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",0,
,,,"$1,500-$1,749 ($78,000-$90,999)",3,
,,,"$1,750-$1,999 ($91,000-$103,999)",0,
,,,"$2,000-$2,999 ($104,000-$155,999)",0,
,,,"$3,000 or more ($156,000 or more)",0,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",0,
,,,"$1,500-$1,749 ($78,000-$90,999)",0,
,,,"$1,750-$1,999 ($91,000-$103,999)",0,
,,,"$2,000-$2,999 ($104,000-$155,999)",0,
,,,"$3,000 or more ($156,000 or more)",0,
,"Auctioneers, and Stock and Station Agents","50-59 years","$400-$499 ($20,800-$25,999)",6,
,,,"$500-$649 ($26,000-$33,799)",12,
,,,"$650-$799 ($33,800-$41,599)",16,
,,,"$800-$999 ($41,600-$51,999)",49,
,,,"$1,000-$1,249 ($52,000-$64,999)",60,
,,,"$1,250-$1,499 ($65,000-$77,999)",68,
,,,"$1,500-$1,749 ($78,000-$90,999)",95,
,,,"$1,750-$1,999 ($91,000-$103,999)",51,
,,,"$2,000-$2,999 ($104,000-$155,999)",77,
,,,"$3,000 or more ($156,000 or more)",65,
,,"40-49 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",13,
,,,"$650-$799 ($33,800-$41,599)",33,
,,,"$800-$999 ($41,600-$51,999)",40,
,,,"$1,000-$1,249 ($52,000-$64,999)",78,
,,,"$1,250-$1,499 ($65,000-$77,999)",79,
,,,"$1,500-$1,749 ($78,000-$90,999)",89,
,,,"$1,750-$1,999 ($91,000-$103,999)",61,
,,,"$2,000-$2,999 ($104,000-$155,999)",105,
,,,"$3,000 or more ($156,000 or more)",81,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",10,
,,,"$650-$799 ($33,800-$41,599)",18,
,,,"$800-$999 ($41,600-$51,999)",31,
,,,"$1,000-$1,249 ($52,000-$64,999)",82,
,,,"$1,250-$1,499 ($65,000-$77,999)",61,
,,,"$1,500-$1,749 ($78,000-$90,999)",59,
,,,"$1,750-$1,999 ($91,000-$103,999)",57,
,,,"$2,000-$2,999 ($104,000-$155,999)",88,
,,,"$3,000 or more ($156,000 or more)",54,
,,"20-29 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",19,
,,,"$650-$799 ($33,800-$41,599)",43,
,,,"$800-$999 ($41,600-$51,999)",59,
,,,"$1,000-$1,249 ($52,000-$64,999)",76,
,,,"$1,250-$1,499 ($65,000-$77,999)",47,
,,,"$1,500-$1,749 ($78,000-$90,999)",29,
,,,"$1,750-$1,999 ($91,000-$103,999)",14,
,,,"$2,000-$2,999 ($104,000-$155,999)",23,
,,,"$3,000 or more ($156,000 or more)",7,
,"Insurance Agents","50-59 years","$400-$499 ($20,800-$25,999)",9,
,,,"$500-$649 ($26,000-$33,799)",9,
,,,"$650-$799 ($33,800-$41,599)",54,
,,,"$800-$999 ($41,600-$51,999)",121,
,,,"$1,000-$1,249 ($52,000-$64,999)",159,
,,,"$1,250-$1,499 ($65,000-$77,999)",130,
,,,"$1,500-$1,749 ($78,000-$90,999)",124,
,,,"$1,750-$1,999 ($91,000-$103,999)",103,
,,,"$2,000-$2,999 ($104,000-$155,999)",226,
,,,"$3,000 or more ($156,000 or more)",192,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",13,
,,,"$650-$799 ($33,800-$41,599)",51,
,,,"$800-$999 ($41,600-$51,999)",154,
,,,"$1,000-$1,249 ($52,000-$64,999)",271,
,,,"$1,250-$1,499 ($65,000-$77,999)",213,
,,,"$1,500-$1,749 ($78,000-$90,999)",241,
,,,"$1,750-$1,999 ($91,000-$103,999)",180,
,,,"$2,000-$2,999 ($104,000-$155,999)",394,
,,,"$3,000 or more ($156,000 or more)",312,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",31,
,,,"$650-$799 ($33,800-$41,599)",92,
,,,"$800-$999 ($41,600-$51,999)",281,
,,,"$1,000-$1,249 ($52,000-$64,999)",489,
,,,"$1,250-$1,499 ($65,000-$77,999)",391,
,,,"$1,500-$1,749 ($78,000-$90,999)",319,
,,,"$1,750-$1,999 ($91,000-$103,999)",265,
,,,"$2,000-$2,999 ($104,000-$155,999)",406,
,,,"$3,000 or more ($156,000 or more)",209,
,,"20-29 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",47,
,,,"$650-$799 ($33,800-$41,599)",228,
,,,"$800-$999 ($41,600-$51,999)",585,
,,,"$1,000-$1,249 ($52,000-$64,999)",615,
,,,"$1,250-$1,499 ($65,000-$77,999)",318,
,,,"$1,500-$1,749 ($78,000-$90,999)",180,
,,,"$1,750-$1,999 ($91,000-$103,999)",91,
,,,"$2,000-$2,999 ($104,000-$155,999)",91,
,,,"$3,000 or more ($156,000 or more)",13,
,"Sales Representatives","50-59 years","$400-$499 ($20,800-$25,999)",84,
,,,"$500-$649 ($26,000-$33,799)",254,
,,,"$650-$799 ($33,800-$41,599)",706,
,,,"$800-$999 ($41,600-$51,999)",1658,
,,,"$1,000-$1,249 ($52,000-$64,999)",2823,
,,,"$1,250-$1,499 ($65,000-$77,999)",2756,
,,,"$1,500-$1,749 ($78,000-$90,999)",2321,
,,,"$1,750-$1,999 ($91,000-$103,999)",1366,
,,,"$2,000-$2,999 ($104,000-$155,999)",1961,
,,,"$3,000 or more ($156,000 or more)",773,
,,"40-49 years","$400-$499 ($20,800-$25,999)",71,
,,,"$500-$649 ($26,000-$33,799)",258,
,,,"$650-$799 ($33,800-$41,599)",765,
,,,"$800-$999 ($41,600-$51,999)",1922,
,,,"$1,000-$1,249 ($52,000-$64,999)",3553,
,,,"$1,250-$1,499 ($65,000-$77,999)",3595,
,,,"$1,500-$1,749 ($78,000-$90,999)",3240,
,,,"$1,750-$1,999 ($91,000-$103,999)",2091,
,,,"$2,000-$2,999 ($104,000-$155,999)",3171,
,,,"$3,000 or more ($156,000 or more)",1340,
,,"30-39 years","$400-$499 ($20,800-$25,999)",55,
,,,"$500-$649 ($26,000-$33,799)",229,
,,,"$650-$799 ($33,800-$41,599)",774,
,,,"$800-$999 ($41,600-$51,999)",2020,
,,,"$1,000-$1,249 ($52,000-$64,999)",3716,
,,,"$1,250-$1,499 ($65,000-$77,999)",3555,
,,,"$1,500-$1,749 ($78,000-$90,999)",2932,
,,,"$1,750-$1,999 ($91,000-$103,999)",1873,
,,,"$2,000-$2,999 ($104,000-$155,999)",2659,
,,,"$3,000 or more ($156,000 or more)",1093,
,,"20-29 years","$400-$499 ($20,800-$25,999)",90,
,,,"$500-$649 ($26,000-$33,799)",341,
,,,"$650-$799 ($33,800-$41,599)",1297,
,,,"$800-$999 ($41,600-$51,999)",2634,
,,,"$1,000-$1,249 ($52,000-$64,999)",2931,
,,,"$1,250-$1,499 ($65,000-$77,999)",1838,
,,,"$1,500-$1,749 ($78,000-$90,999)",1091,
,,,"$1,750-$1,999 ($91,000-$103,999)",533,
,,,"$2,000-$2,999 ($104,000-$155,999)",607,
,,,"$3,000 or more ($156,000 or more)",107,
,"Real Estate Sales Agents","50-59 years","$400-$499 ($20,800-$25,999)",177,
,,,"$500-$649 ($26,000-$33,799)",401,
,,,"$650-$799 ($33,800-$41,599)",933,
,,,"$800-$999 ($41,600-$51,999)",1552,
,,,"$1,000-$1,249 ($52,000-$64,999)",1927,
,,,"$1,250-$1,499 ($65,000-$77,999)",1490,
,,,"$1,500-$1,749 ($78,000-$90,999)",1366,
,,,"$1,750-$1,999 ($91,000-$103,999)",936,
,,,"$2,000-$2,999 ($104,000-$155,999)",1681,
,,,"$3,000 or more ($156,000 or more)",1650,
,,"40-49 years","$400-$499 ($20,800-$25,999)",146,
,,,"$500-$649 ($26,000-$33,799)",412,
,,,"$650-$799 ($33,800-$41,599)",1065,
,,,"$800-$999 ($41,600-$51,999)",1821,
,,,"$1,000-$1,249 ($52,000-$64,999)",2119,
,,,"$1,250-$1,499 ($65,000-$77,999)",1552,
,,,"$1,500-$1,749 ($78,000-$90,999)",1535,
,,,"$1,750-$1,999 ($91,000-$103,999)",1112,
,,,"$2,000-$2,999 ($104,000-$155,999)",1895,
,,,"$3,000 or more ($156,000 or more)",2205,
,,"30-39 years","$400-$499 ($20,800-$25,999)",115,
,,,"$500-$649 ($26,000-$33,799)",377,
,,,"$650-$799 ($33,800-$41,599)",1153,
,,,"$800-$999 ($41,600-$51,999)",1877,
,,,"$1,000-$1,249 ($52,000-$64,999)",2277,
,,,"$1,250-$1,499 ($65,000-$77,999)",1627,
,,,"$1,500-$1,749 ($78,000-$90,999)",1364,
,,,"$1,750-$1,999 ($91,000-$103,999)",937,
,,,"$2,000-$2,999 ($104,000-$155,999)",1628,
,,,"$3,000 or more ($156,000 or more)",1708,
,,"20-29 years","$400-$499 ($20,800-$25,999)",163,
,,,"$500-$649 ($26,000-$33,799)",825,
,,,"$650-$799 ($33,800-$41,599)",2461,
,,,"$800-$999 ($41,600-$51,999)",3295,
,,,"$1,000-$1,249 ($52,000-$64,999)",2437,
,,,"$1,250-$1,499 ($65,000-$77,999)",1259,
,,,"$1,500-$1,749 ($78,000-$90,999)",688,
,,,"$1,750-$1,999 ($91,000-$103,999)",375,
,,,"$2,000-$2,999 ($104,000-$155,999)",477,
,,,"$3,000 or more ($156,000 or more)",279,
,"Sales Assistants and Salespersons, nfd","50-59 years","$400-$499 ($20,800-$25,999)",15,
,,,"$500-$649 ($26,000-$33,799)",40,
,,,"$650-$799 ($33,800-$41,599)",82,
,,,"$800-$999 ($41,600-$51,999)",111,
,,,"$1,000-$1,249 ($52,000-$64,999)",111,
,,,"$1,250-$1,499 ($65,000-$77,999)",86,
,,,"$1,500-$1,749 ($78,000-$90,999)",79,
,,,"$1,750-$1,999 ($91,000-$103,999)",50,
,,,"$2,000-$2,999 ($104,000-$155,999)",68,
,,,"$3,000 or more ($156,000 or more)",61,
,,"40-49 years","$400-$499 ($20,800-$25,999)",12,
,,,"$500-$649 ($26,000-$33,799)",48,
,,,"$650-$799 ($33,800-$41,599)",98,
,,,"$800-$999 ($41,600-$51,999)",138,
,,,"$1,000-$1,249 ($52,000-$64,999)",129,
,,,"$1,250-$1,499 ($65,000-$77,999)",104,
,,,"$1,500-$1,749 ($78,000-$90,999)",88,
,,,"$1,750-$1,999 ($91,000-$103,999)",60,
,,,"$2,000-$2,999 ($104,000-$155,999)",83,
,,,"$3,000 or more ($156,000 or more)",80,
,,"30-39 years","$400-$499 ($20,800-$25,999)",19,
,,,"$500-$649 ($26,000-$33,799)",46,
,,,"$650-$799 ($33,800-$41,599)",63,
,,,"$800-$999 ($41,600-$51,999)",125,
,,,"$1,000-$1,249 ($52,000-$64,999)",168,
,,,"$1,250-$1,499 ($65,000-$77,999)",116,
,,,"$1,500-$1,749 ($78,000-$90,999)",96,
,,,"$1,750-$1,999 ($91,000-$103,999)",50,
,,,"$2,000-$2,999 ($104,000-$155,999)",92,
,,,"$3,000 or more ($156,000 or more)",62,
,,"20-29 years","$400-$499 ($20,800-$25,999)",19,
,,,"$500-$649 ($26,000-$33,799)",71,
,,,"$650-$799 ($33,800-$41,599)",132,
,,,"$800-$999 ($41,600-$51,999)",168,
,,,"$1,000-$1,249 ($52,000-$64,999)",132,
,,,"$1,250-$1,499 ($65,000-$77,999)",55,
,,,"$1,500-$1,749 ($78,000-$90,999)",29,
,,,"$1,750-$1,999 ($91,000-$103,999)",24,
,,,"$2,000-$2,999 ($104,000-$155,999)",24,
,,,"$3,000 or more ($156,000 or more)",4,
,"Sales Assistants (General)","50-59 years","$400-$499 ($20,800-$25,999)",898,
,,,"$500-$649 ($26,000-$33,799)",2842,
,,,"$650-$799 ($33,800-$41,599)",6667,
,,,"$800-$999 ($41,600-$51,999)",7197,
,,,"$1,000-$1,249 ($52,000-$64,999)",4142,
,,,"$1,250-$1,499 ($65,000-$77,999)",1713,
,,,"$1,500-$1,749 ($78,000-$90,999)",956,
,,,"$1,750-$1,999 ($91,000-$103,999)",458,
,,,"$2,000-$2,999 ($104,000-$155,999)",513,
,,,"$3,000 or more ($156,000 or more)",275,
,,"40-49 years","$400-$499 ($20,800-$25,999)",805,
,,,"$500-$649 ($26,000-$33,799)",2626,
,,,"$650-$799 ($33,800-$41,599)",6701,
,,,"$800-$999 ($41,600-$51,999)",7412,
,,,"$1,000-$1,249 ($52,000-$64,999)",4330,
,,,"$1,250-$1,499 ($65,000-$77,999)",1836,
,,,"$1,500-$1,749 ($78,000-$90,999)",1130,
,,,"$1,750-$1,999 ($91,000-$103,999)",554,
,,,"$2,000-$2,999 ($104,000-$155,999)",661,
,,,"$3,000 or more ($156,000 or more)",401,
,,"30-39 years","$400-$499 ($20,800-$25,999)",566,
,,,"$500-$649 ($26,000-$33,799)",2096,
,,,"$650-$799 ($33,800-$41,599)",6615,
,,,"$800-$999 ($41,600-$51,999)",7353,
,,,"$1,000-$1,249 ($52,000-$64,999)",4600,
,,,"$1,250-$1,499 ($65,000-$77,999)",1707,
,,,"$1,500-$1,749 ($78,000-$90,999)",953,
,,,"$1,750-$1,999 ($91,000-$103,999)",464,
,,,"$2,000-$2,999 ($104,000-$155,999)",537,
,,,"$3,000 or more ($156,000 or more)",239,
,,"20-29 years","$400-$499 ($20,800-$25,999)",1539,
,,,"$500-$649 ($26,000-$33,799)",5561,
,,,"$650-$799 ($33,800-$41,599)",13526,
,,,"$800-$999 ($41,600-$51,999)",11059,
,,,"$1,000-$1,249 ($52,000-$64,999)",3925,
,,,"$1,250-$1,499 ($65,000-$77,999)",1112,
,,,"$1,500-$1,749 ($78,000-$90,999)",462,
,,,"$1,750-$1,999 ($91,000-$103,999)",169,
,,,"$2,000-$2,999 ($104,000-$155,999)",148,
,,,"$3,000 or more ($156,000 or more)",67,
,"ICT Sales Assistants","50-59 years","$400-$499 ($20,800-$25,999)",18,
,,,"$500-$649 ($26,000-$33,799)",42,
,,,"$650-$799 ($33,800-$41,599)",66,
,,,"$800-$999 ($41,600-$51,999)",72,
,,,"$1,000-$1,249 ($52,000-$64,999)",118,
,,,"$1,250-$1,499 ($65,000-$77,999)",56,
,,,"$1,500-$1,749 ($78,000-$90,999)",56,
,,,"$1,750-$1,999 ($91,000-$103,999)",47,
,,,"$2,000-$2,999 ($104,000-$155,999)",132,
,,,"$3,000 or more ($156,000 or more)",308,
,,"40-49 years","$400-$499 ($20,800-$25,999)",18,
,,,"$500-$649 ($26,000-$33,799)",41,
,,,"$650-$799 ($33,800-$41,599)",104,
,,,"$800-$999 ($41,600-$51,999)",180,
,,,"$1,000-$1,249 ($52,000-$64,999)",180,
,,,"$1,250-$1,499 ($65,000-$77,999)",125,
,,,"$1,500-$1,749 ($78,000-$90,999)",130,
,,,"$1,750-$1,999 ($91,000-$103,999)",95,
,,,"$2,000-$2,999 ($104,000-$155,999)",291,
,,,"$3,000 or more ($156,000 or more)",639,
,,"30-39 years","$400-$499 ($20,800-$25,999)",27,
,,,"$500-$649 ($26,000-$33,799)",61,
,,,"$650-$799 ($33,800-$41,599)",250,
,,,"$800-$999 ($41,600-$51,999)",380,
,,,"$1,000-$1,249 ($52,000-$64,999)",326,
,,,"$1,250-$1,499 ($65,000-$77,999)",198,
,,,"$1,500-$1,749 ($78,000-$90,999)",158,
,,,"$1,750-$1,999 ($91,000-$103,999)",126,
,,,"$2,000-$2,999 ($104,000-$155,999)",269,
,,,"$3,000 or more ($156,000 or more)",349,
,,"20-29 years","$400-$499 ($20,800-$25,999)",72,
,,,"$500-$649 ($26,000-$33,799)",230,
,,,"$650-$799 ($33,800-$41,599)",753,
,,,"$800-$999 ($41,600-$51,999)",829,
,,,"$1,000-$1,249 ($52,000-$64,999)",437,
,,,"$1,250-$1,499 ($65,000-$77,999)",203,
,,,"$1,500-$1,749 ($78,000-$90,999)",117,
,,,"$1,750-$1,999 ($91,000-$103,999)",53,
,,,"$2,000-$2,999 ($104,000-$155,999)",94,
,,,"$3,000 or more ($156,000 or more)",35,
,"Motor Vehicle and Vehicle Parts Salespersons","50-59 years","$400-$499 ($20,800-$25,999)",60,
,,,"$500-$649 ($26,000-$33,799)",187,
,,,"$650-$799 ($33,800-$41,599)",501,
,,,"$800-$999 ($41,600-$51,999)",1012,
,,,"$1,000-$1,249 ($52,000-$64,999)",1118,
,,,"$1,250-$1,499 ($65,000-$77,999)",842,
,,,"$1,500-$1,749 ($78,000-$90,999)",620,
,,,"$1,750-$1,999 ($91,000-$103,999)",350,
,,,"$2,000-$2,999 ($104,000-$155,999)",457,
,,,"$3,000 or more ($156,000 or more)",175,
,,"40-49 years","$400-$499 ($20,800-$25,999)",39,
,,,"$500-$649 ($26,000-$33,799)",169,
,,,"$650-$799 ($33,800-$41,599)",531,
,,,"$800-$999 ($41,600-$51,999)",1047,
,,,"$1,000-$1,249 ($52,000-$64,999)",1334,
,,,"$1,250-$1,499 ($65,000-$77,999)",918,
,,,"$1,500-$1,749 ($78,000-$90,999)",800,
,,,"$1,750-$1,999 ($91,000-$103,999)",493,
,,,"$2,000-$2,999 ($104,000-$155,999)",651,
,,,"$3,000 or more ($156,000 or more)",273,
,,"30-39 years","$400-$499 ($20,800-$25,999)",32,
,,,"$500-$649 ($26,000-$33,799)",181,
,,,"$650-$799 ($33,800-$41,599)",703,
,,,"$800-$999 ($41,600-$51,999)",1285,
,,,"$1,000-$1,249 ($52,000-$64,999)",1360,
,,,"$1,250-$1,499 ($65,000-$77,999)",1024,
,,,"$1,500-$1,749 ($78,000-$90,999)",762,
,,,"$1,750-$1,999 ($91,000-$103,999)",493,
,,,"$2,000-$2,999 ($104,000-$155,999)",641,
,,,"$3,000 or more ($156,000 or more)",172,
,,"20-29 years","$400-$499 ($20,800-$25,999)",98,
,,,"$500-$649 ($26,000-$33,799)",453,
,,,"$650-$799 ($33,800-$41,599)",1495,
,,,"$800-$999 ($41,600-$51,999)",1580,
,,,"$1,000-$1,249 ($52,000-$64,999)",1247,
,,,"$1,250-$1,499 ($65,000-$77,999)",639,
,,,"$1,500-$1,749 ($78,000-$90,999)",434,
,,,"$1,750-$1,999 ($91,000-$103,999)",261,
,,,"$2,000-$2,999 ($104,000-$155,999)",227,
,,,"$3,000 or more ($156,000 or more)",42,
,"Pharmacy Sales Assistants","50-59 years","$400-$499 ($20,800-$25,999)",25,
,,,"$500-$649 ($26,000-$33,799)",228,
,,,"$650-$799 ($33,800-$41,599)",567,
,,,"$800-$999 ($41,600-$51,999)",325,
,,,"$1,000-$1,249 ($52,000-$64,999)",113,
,,,"$1,250-$1,499 ($65,000-$77,999)",32,
,,,"$1,500-$1,749 ($78,000-$90,999)",15,
,,,"$1,750-$1,999 ($91,000-$103,999)",7,
,,,"$2,000-$2,999 ($104,000-$155,999)",10,
,,,"$3,000 or more ($156,000 or more)",0,
,,"40-49 years","$400-$499 ($20,800-$25,999)",37,
,,,"$500-$649 ($26,000-$33,799)",253,
,,,"$650-$799 ($33,800-$41,599)",587,
,,,"$800-$999 ($41,600-$51,999)",318,
,,,"$1,000-$1,249 ($52,000-$64,999)",96,
,,,"$1,250-$1,499 ($65,000-$77,999)",33,
,,,"$1,500-$1,749 ($78,000-$90,999)",18,
,,,"$1,750-$1,999 ($91,000-$103,999)",5,
,,,"$2,000-$2,999 ($104,000-$155,999)",10,
,,,"$3,000 or more ($156,000 or more)",7,
,,"30-39 years","$400-$499 ($20,800-$25,999)",30,
,,,"$500-$649 ($26,000-$33,799)",177,
