Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP - 4 Digit Level, AGE10P - Age in Ten Year Groups and INCP Total Personal Income (weekly)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP - 4 Digit Level","AGE10P - Age in Ten Year Groups","INCP Total Personal Income (weekly)",
,,,"$1,500-$1,749 ($78,000-$90,999)",12,
,,,"$1,750-$1,999 ($91,000-$103,999)",10,
,,,"$2,000-$2,999 ($104,000-$155,999)",25,
,,,"$3,000 or more ($156,000 or more)",96,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",3,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",7,
,,,"$1,000-$1,249 ($52,000-$64,999)",12,
,,,"$1,250-$1,499 ($65,000-$77,999)",11,
,,,"$1,500-$1,749 ($78,000-$90,999)",4,
,,,"$1,750-$1,999 ($91,000-$103,999)",0,
,,,"$2,000-$2,999 ($104,000-$155,999)",6,
,,,"$3,000 or more ($156,000 or more)",6,
,"Farmers and Farm Managers, nfd","50-59 years","$400-$499 ($20,800-$25,999)",113,
,,,"$500-$649 ($26,000-$33,799)",129,
,,,"$650-$799 ($33,800-$41,599)",159,
,,,"$800-$999 ($41,600-$51,999)",200,
,,,"$1,000-$1,249 ($52,000-$64,999)",189,
,,,"$1,250-$1,499 ($65,000-$77,999)",121,
,,,"$1,500-$1,749 ($78,000-$90,999)",115,
,,,"$1,750-$1,999 ($91,000-$103,999)",63,
,,,"$2,000-$2,999 ($104,000-$155,999)",75,
,,,"$3,000 or more ($156,000 or more)",81,
,,"40-49 years","$400-$499 ($20,800-$25,999)",78,
,,,"$500-$649 ($26,000-$33,799)",108,
,,,"$650-$799 ($33,800-$41,599)",133,
,,,"$800-$999 ($41,600-$51,999)",153,
,,,"$1,000-$1,249 ($52,000-$64,999)",179,
,,,"$1,250-$1,499 ($65,000-$77,999)",109,
,,,"$1,500-$1,749 ($78,000-$90,999)",93,
,,,"$1,750-$1,999 ($91,000-$103,999)",59,
,,,"$2,000-$2,999 ($104,000-$155,999)",87,
,,,"$3,000 or more ($156,000 or more)",87,
,,"30-39 years","$400-$499 ($20,800-$25,999)",27,
,,,"$500-$649 ($26,000-$33,799)",78,
,,,"$650-$799 ($33,800-$41,599)",107,
,,,"$800-$999 ($41,600-$51,999)",112,
,,,"$1,000-$1,249 ($52,000-$64,999)",110,
,,,"$1,250-$1,499 ($65,000-$77,999)",101,
,,,"$1,500-$1,749 ($78,000-$90,999)",60,
,,,"$1,750-$1,999 ($91,000-$103,999)",35,
,,,"$2,000-$2,999 ($104,000-$155,999)",60,
,,,"$3,000 or more ($156,000 or more)",48,
,,"20-29 years","$400-$499 ($20,800-$25,999)",21,
,,,"$500-$649 ($26,000-$33,799)",57,
,,,"$650-$799 ($33,800-$41,599)",82,
,,,"$800-$999 ($41,600-$51,999)",109,
,,,"$1,000-$1,249 ($52,000-$64,999)",81,
,,,"$1,250-$1,499 ($65,000-$77,999)",56,
,,,"$1,500-$1,749 ($78,000-$90,999)",18,
,,,"$1,750-$1,999 ($91,000-$103,999)",12,
,,,"$2,000-$2,999 ($104,000-$155,999)",14,
,,,"$3,000 or more ($156,000 or more)",3,
,"Aquaculture Farmers","50-59 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",20,
,,,"$650-$799 ($33,800-$41,599)",34,
,,,"$800-$999 ($41,600-$51,999)",35,
,,,"$1,000-$1,249 ($52,000-$64,999)",47,
,,,"$1,250-$1,499 ($65,000-$77,999)",21,
,,,"$1,500-$1,749 ($78,000-$90,999)",25,
,,,"$1,750-$1,999 ($91,000-$103,999)",13,
,,,"$2,000-$2,999 ($104,000-$155,999)",16,
,,,"$3,000 or more ($156,000 or more)",16,
,,"40-49 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",16,
,,,"$650-$799 ($33,800-$41,599)",35,
,,,"$800-$999 ($41,600-$51,999)",30,
,,,"$1,000-$1,249 ($52,000-$64,999)",44,
,,,"$1,250-$1,499 ($65,000-$77,999)",43,
,,,"$1,500-$1,749 ($78,000-$90,999)",23,
,,,"$1,750-$1,999 ($91,000-$103,999)",7,
,,,"$2,000-$2,999 ($104,000-$155,999)",26,
,,,"$3,000 or more ($156,000 or more)",13,
,,"30-39 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",13,
,,,"$650-$799 ($33,800-$41,599)",27,
,,,"$800-$999 ($41,600-$51,999)",43,
,,,"$1,000-$1,249 ($52,000-$64,999)",68,
,,,"$1,250-$1,499 ($65,000-$77,999)",44,
,,,"$1,500-$1,749 ($78,000-$90,999)",33,
,,,"$1,750-$1,999 ($91,000-$103,999)",21,
,,,"$2,000-$2,999 ($104,000-$155,999)",28,
,,,"$3,000 or more ($156,000 or more)",3,
,,"20-29 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",10,
,,,"$650-$799 ($33,800-$41,599)",48,
,,,"$800-$999 ($41,600-$51,999)",38,
,,,"$1,000-$1,249 ($52,000-$64,999)",37,
,,,"$1,250-$1,499 ($65,000-$77,999)",22,
,,,"$1,500-$1,749 ($78,000-$90,999)",11,
,,,"$1,750-$1,999 ($91,000-$103,999)",4,
,,,"$2,000-$2,999 ($104,000-$155,999)",0,
,,,"$3,000 or more ($156,000 or more)",0,
,"Crop Farmers","50-59 years","$400-$499 ($20,800-$25,999)",474,
,,,"$500-$649 ($26,000-$33,799)",700,
,,,"$650-$799 ($33,800-$41,599)",871,
,,,"$800-$999 ($41,600-$51,999)",985,
,,,"$1,000-$1,249 ($52,000-$64,999)",1049,
,,,"$1,250-$1,499 ($65,000-$77,999)",724,
,,,"$1,500-$1,749 ($78,000-$90,999)",580,
,,,"$1,750-$1,999 ($91,000-$103,999)",349,
,,,"$2,000-$2,999 ($104,000-$155,999)",413,
,,,"$3,000 or more ($156,000 or more)",414,
,,"40-49 years","$400-$499 ($20,800-$25,999)",348,
,,,"$500-$649 ($26,000-$33,799)",546,
,,,"$650-$799 ($33,800-$41,599)",717,
,,,"$800-$999 ($41,600-$51,999)",966,
,,,"$1,000-$1,249 ($52,000-$64,999)",1005,
,,,"$1,250-$1,499 ($65,000-$77,999)",717,
,,,"$1,500-$1,749 ($78,000-$90,999)",627,
,,,"$1,750-$1,999 ($91,000-$103,999)",345,
,,,"$2,000-$2,999 ($104,000-$155,999)",422,
,,,"$3,000 or more ($156,000 or more)",367,
,,"30-39 years","$400-$499 ($20,800-$25,999)",170,
,,,"$500-$649 ($26,000-$33,799)",310,
,,,"$650-$799 ($33,800-$41,599)",589,
,,,"$800-$999 ($41,600-$51,999)",739,
,,,"$1,000-$1,249 ($52,000-$64,999)",798,
,,,"$1,250-$1,499 ($65,000-$77,999)",522,
,,,"$1,500-$1,749 ($78,000-$90,999)",446,
,,,"$1,750-$1,999 ($91,000-$103,999)",239,
,,,"$2,000-$2,999 ($104,000-$155,999)",242,
,,,"$3,000 or more ($156,000 or more)",172,
,,"20-29 years","$400-$499 ($20,800-$25,999)",105,
,,,"$500-$649 ($26,000-$33,799)",232,
,,,"$650-$799 ($33,800-$41,599)",471,
,,,"$800-$999 ($41,600-$51,999)",524,
,,,"$1,000-$1,249 ($52,000-$64,999)",434,
,,,"$1,250-$1,499 ($65,000-$77,999)",211,
,,,"$1,500-$1,749 ($78,000-$90,999)",151,
,,,"$1,750-$1,999 ($91,000-$103,999)",43,
,,,"$2,000-$2,999 ($104,000-$155,999)",45,
,,,"$3,000 or more ($156,000 or more)",33,
,"Livestock Farmers","50-59 years","$400-$499 ($20,800-$25,999)",801,
,,,"$500-$649 ($26,000-$33,799)",1120,
,,,"$650-$799 ($33,800-$41,599)",1148,
,,,"$800-$999 ($41,600-$51,999)",1381,
,,,"$1,000-$1,249 ($52,000-$64,999)",1370,
,,,"$1,250-$1,499 ($65,000-$77,999)",947,
,,,"$1,500-$1,749 ($78,000-$90,999)",741,
,,,"$1,750-$1,999 ($91,000-$103,999)",413,
,,,"$2,000-$2,999 ($104,000-$155,999)",557,
,,,"$3,000 or more ($156,000 or more)",716,
,,"40-49 years","$400-$499 ($20,800-$25,999)",516,
,,,"$500-$649 ($26,000-$33,799)",792,
,,,"$650-$799 ($33,800-$41,599)",890,
,,,"$800-$999 ($41,600-$51,999)",1107,
,,,"$1,000-$1,249 ($52,000-$64,999)",1179,
,,,"$1,250-$1,499 ($65,000-$77,999)",748,
,,,"$1,500-$1,749 ($78,000-$90,999)",619,
,,,"$1,750-$1,999 ($91,000-$103,999)",335,
,,,"$2,000-$2,999 ($104,000-$155,999)",412,
,,,"$3,000 or more ($156,000 or more)",445,
,,"30-39 years","$400-$499 ($20,800-$25,999)",271,
,,,"$500-$649 ($26,000-$33,799)",447,
,,,"$650-$799 ($33,800-$41,599)",601,
,,,"$800-$999 ($41,600-$51,999)",866,
,,,"$1,000-$1,249 ($52,000-$64,999)",1026,
,,,"$1,250-$1,499 ($65,000-$77,999)",607,
,,,"$1,500-$1,749 ($78,000-$90,999)",427,
,,,"$1,750-$1,999 ($91,000-$103,999)",226,
,,,"$2,000-$2,999 ($104,000-$155,999)",228,
,,,"$3,000 or more ($156,000 or more)",189,
,,"20-29 years","$400-$499 ($20,800-$25,999)",132,
,,,"$500-$649 ($26,000-$33,799)",280,
,,,"$650-$799 ($33,800-$41,599)",482,
,,,"$800-$999 ($41,600-$51,999)",582,
,,,"$1,000-$1,249 ($52,000-$64,999)",562,
,,,"$1,250-$1,499 ($65,000-$77,999)",284,
,,,"$1,500-$1,749 ($78,000-$90,999)",131,
,,,"$1,750-$1,999 ($91,000-$103,999)",52,
,,,"$2,000-$2,999 ($104,000-$155,999)",72,
,,,"$3,000 or more ($156,000 or more)",47,
,"Mixed Crop and Livestock Farmers","50-59 years","$400-$499 ($20,800-$25,999)",318,
,,,"$500-$649 ($26,000-$33,799)",479,
,,,"$650-$799 ($33,800-$41,599)",448,
,,,"$800-$999 ($41,600-$51,999)",518,
,,,"$1,000-$1,249 ($52,000-$64,999)",642,
,,,"$1,250-$1,499 ($65,000-$77,999)",412,
,,,"$1,500-$1,749 ($78,000-$90,999)",342,
,,,"$1,750-$1,999 ($91,000-$103,999)",226,
,,,"$2,000-$2,999 ($104,000-$155,999)",247,
,,,"$3,000 or more ($156,000 or more)",295,
,,"40-49 years","$400-$499 ($20,800-$25,999)",209,
,,,"$500-$649 ($26,000-$33,799)",312,
,,,"$650-$799 ($33,800-$41,599)",371,
,,,"$800-$999 ($41,600-$51,999)",423,
,,,"$1,000-$1,249 ($52,000-$64,999)",480,
,,,"$1,250-$1,499 ($65,000-$77,999)",320,
,,,"$1,500-$1,749 ($78,000-$90,999)",266,
,,,"$1,750-$1,999 ($91,000-$103,999)",185,
,,,"$2,000-$2,999 ($104,000-$155,999)",218,
,,,"$3,000 or more ($156,000 or more)",209,
,,"30-39 years","$400-$499 ($20,800-$25,999)",123,
,,,"$500-$649 ($26,000-$33,799)",226,
,,,"$650-$799 ($33,800-$41,599)",254,
,,,"$800-$999 ($41,600-$51,999)",361,
,,,"$1,000-$1,249 ($52,000-$64,999)",427,
,,,"$1,250-$1,499 ($65,000-$77,999)",258,
,,,"$1,500-$1,749 ($78,000-$90,999)",216,
,,,"$1,750-$1,999 ($91,000-$103,999)",103,
,,,"$2,000-$2,999 ($104,000-$155,999)",115,
,,,"$3,000 or more ($156,000 or more)",103,
,,"20-29 years","$400-$499 ($20,800-$25,999)",67,
,,,"$500-$649 ($26,000-$33,799)",128,
,,,"$650-$799 ($33,800-$41,599)",153,
,,,"$800-$999 ($41,600-$51,999)",194,
,,,"$1,000-$1,249 ($52,000-$64,999)",194,
,,,"$1,250-$1,499 ($65,000-$77,999)",87,
